Employee_ID,Department,Age,Gender,Salary,Years_Experience,Performance_Score,Satisfaction_Score
1001,Marketing,,Male,84098.0,4,78.0,8.0
1002,Sales,53.0,Female,90921.0,29,73.0,8.0
1003,Finance,45.0,Male,35486.0,29,85.0,4.0
1004,Sales,33.0,Male,38335.0,16,63.0,4.0
1005,Sales,23.0,Male,,22,84.0,5.0
1006,HR,24.0,Female,119112.0,14,84.0,
1007,Finance,58.0,Male,41130.0,20,,5.0
1008,Finance,38.0,Male,117508.0,13,99.0,7.0
1009,Finance,23.0,Female,90566.0,1,67.0,2.0
1010,Sales,23.0,Female,96703.0,10,98.0,7.0
1011,Marketing,49.0,Male,57192.0,33,99.0,10.0
1012,Finance,44.0,Male,31062.0,33,73.0,7.0
1013,Operations,58.0,Female,114076.0,17,91.0,1.0
1014,Sales,53.0,Female,119780.0,29,97.0,7.0
1015,HR,54.0,Female,51545.0,14,92.0,5.0
1016,Marketing,22.0,Female,51689.0,26,82.0,3.0
1017,Operations,40.0,Female,41174.0,33,74.0,3.0
1018,Operations,23.0,Male,118461.0,32,92.0,4.0
1019,HR,47.0,Female,39348.0,23,84.0,2.0
1020,Marketing,53.0,Male,53714.0,14,76.0,
1021,Sales,,Male,68102.0,29,92.0,1.0
1022,IT,,Male,104460.0,16,61.0,5.0
1023,Marketing,25.0,Female,119930.0,4,73.0,4.0
1024,HR,32.0,Male,36801.0,28,99.0,10.0
1025,Operations,38.0,Male,102267.0,3,99.0,2.0
1026,Sales,59.0,Female,78136.0,9,98.0,3.0
1027,Marketing,45.0,Male,53625.0,16,65.0,7.0
1028,IT,26.0,Male,112873.0,9,65.0,7.0
1029,IT,55.0,Female,102592.0,16,62.0,4.0
1030,Finance,27.0,Male,107052.0,19,66.0,5.0
1031,Finance,43.0,Male,74261.0,23,67.0,5.0
1032,HR,32.0,Male,31542.0,4,74.0,6.0
1033,Marketing,37.0,Female,51677.0,33,88.0,9.0
1034,Marketing,54.0,Female,76732.0,5,92.0,2.0
1035,Operations,30.0,Female,,1,89.0,5.0
1036,Operations,27.0,Male,,12,98.0,3.0
1037,Operations,37.0,Male,92856.0,10,86.0,4.0
1038,Finance,50.0,Female,118858.0,22,95.0,10.0
1039,Marketing,24.0,Male,49065.0,15,88.0,6.0
1040,Marketing,41.0,Male,113460.0,30,97.0,8.0
1041,IT,57.0,Female,118092.0,10,92.0,
1042,Finance,40.0,Female,84693.0,15,96.0,10.0
1043,Sales,47.0,Male,56962.0,7,86.0,8.0
1044,Finance,24.0,Male,58295.0,3,92.0,7.0
1045,Sales,40.0,Male,43807.0,3,63.0,1.0
1046,IT,41.0,Female,72348.0,24,,2.0
1047,HR,53.0,Female,56432.0,2,61.0,3.0
1048,Marketing,28.0,Female,113285.0,31,69.0,1.0
